timestamp_local,app_temp,clouds,clouds_hi,clouds_low,clouds_mid,datetime,dewpt,dhi,dni,ghi,ozone,pod,pop,precip,pres,rh,slp,snow,snow_depth,solar_rad,temp,timestamp_utc,ts,uv,vis,weather,wind_cdir,wind_cdir_full,wind_dir,wind_gust_spd,wind_spd,PV_Power,declination_angle,altitude_angle,azimuth_angle
2023-03-17 00:00:00,30.7,21,84,0,0,2023-03-16:17,22.2,0.0,0.0,0.0,259.3,n,0,0,1010.0,71,1010.5,0,0,0.0,27.9,2023-03-16T17:00:00,1678986000,0.0,24.128,"{'code': 802, 'icon': 'c02n', 'description': 'Scattered clouds'}",S,south,190,7.63,4.98,0.0,-0.03518,-1.36333,0.0
2023-03-17 01:00:00,30.3,13,50,0,0,2023-03-16:18,22.4,0.0,0.0,0.0,258.3,n,0,0,1010.0,73,1010.5,0,0,0.0,27.6,2023-03-16T18:00:00,1678989600,0.0,24.128,"{'code': 801, 'icon': 'c02n', 'description': 'Few clouds'}",SSW,south-southwest,193,6.8,4.37,0.0,-0.03518,-1.23913,0.91794
2023-03-17 02:00:00,29.9,25,100,0,0,2023-03-16:19,22.1,0.0,0.0,0.0,257.0,n,0,0,1009.0,73,1009.5,0,0,0.0,27.4,2023-03-16T19:00:00,1678993200,0.0,24.128,"{'code': 802, 'icon': 'c02n', 'description': 'Scattered clouds'}",SSW,south-southwest,195,7.11,4.43,0.0,-0.03518,-1.01331,1.23605
2023-03-17 03:00:00,29.6,23,92,0,0,2023-03-16:20,22.2,0.0,0.0,0.0,256.5,n,0,0,1009.0,74,1009.5,0,0,0.0,27.2,2023-03-16T20:00:00,1678996800,0.0,24.128,"{'code': 802, 'icon': 'c02n', 'description': 'Scattered clouds'}",SSW,south-southwest,193,6.82,4.09,0.0,-0.03518,-0.76761,1.38114
2023-03-17 04:00:00,29.3,14,54,10,0,2023-03-16:21,22.2,0.0,0.0,0.0,257.0,n,0,0,1009.0,75,1009.5,0,0,0.0,27.0,2023-03-16T21:00:00,1679000400,0.0,24.128,"{'code': 801, 'icon': 'c02n', 'description': 'Few clouds'}",S,south,187,6.22,3.57,0.0,-0.03518,-0.51611,1.47185
2023-03-17 05:00:00,29.3,25,100,0,0,2023-03-16:22,22.4,0.0,0.0,0.0,258.0,n,0,0,1009.5,76,1010.0,0,0,0.0,26.9,2023-03-16T22:00:00,1679004000,0.0,24.128,"{'code': 802, 'icon': 'c02n', 'description': 'Scattered clouds'}",S,south,180,6.1,3.45,0.0,-0.03518,-0.26254,1.54179
2023-03-17 06:00:00,29.1,25,100,0,0,2023-03-16:23,22.3,0.0,0.0,0.0,259.8,n,0,0,1010.0,76,1010.5,0,0,0.0,26.9,2023-03-16T23:00:00,1679007600,0.0,24.128,"{'code': 802, 'icon': 'c02n', 'description': 'Scattered clouds'}",S,south,176,6.1,3.27,35.4125,-0.03518,-0.00845,1.53664
2023-03-17 07:00:00,29.8,25,100,0,0,2023-03-17:00,22.4,46.65,415.61,95.19,260.3,d,0,0,1010.5,75,1011.5,0,0,88.336494,27.2,2023-03-17T00:00:00,1679011200,1.4,24.128,"{'code': 802, 'icon': 'c02d', 'description': 'Scattered clouds'}",S,south,173,6.11,3.41,894.3154,-0.03518,0.24507,1.47137
2023-03-17 08:00:00,31.3,15,61,0,0,2023-03-17:01,21.8,82.8,710.99,347.63,260.8,d,0,0,1011.0,67,1012.0,0,0,325.76898,28.6,2023-03-17T01:00:00,1679014800,2.1,24.128,"{'code': 801, 'icon': 'c02d', 'description': 'Few clouds'}",S,south,181,5.3,3.89,1531.7964,-0.03518,0.49678,1.39447
2023-03-17 09:00:00,33.0,16,63,0,0,2023-03-17:02,20.6,103.78,839.26,600.01,261.5,d,0,0,1011.5,55,1012.5,0,0,564.86957,30.6,2023-03-17T02:00:00,1679018400,3.7,24.128,"{'code': 801, 'icon': 'c02d', 'description': 'Few clouds'}",S,south,185,4.51,3.92,3523.5237,-0.03518,0.74438,1.28983
2023-03-17 10:00:00,34.5,13,51,0,0,2023-03-17:03,19.9,117.18,908.75,814.16,262.0,d,0,0,1011.5,48,1012.0,0,0,769.37744,32.3,2023-03-17T03:00:00,1679022000,6.2,24.128,"{'code': 801, 'icon': 'c02d', 'description': 'Few clouds'}",S,south,186,3.9,3.92,4984.8999,-0.03518,0.98213,1.11962
2023-03-17 11:00:00,35.5,21,84,1,0,2023-03-17:04,19.3,125.3,946.85,967.15,261.5,d,0,0,1011.5,43,1012.0,0,0,911.6524,33.6,2023-03-17T04:00:00,1679025600,8.0,24.128,"{'code': 802, 'icon': 'c02d', 'description': 'Scattered clouds'}",S,south,184,3.42,4.04,4560.9585,-0.03518,1.19061,0.77123
